Job Role,Required Skills,Experience,Keywords
Cybersecurity Analyst,"Incident Response, Network Security, Penetration Testing, SOC, Cryptography",9+ years,"Compliance, Threat Intelligence, Mitigation"
Cloud Engineer,"Monitoring, Cloud Security, Kubernetes, Docker, AWS, Azure",9+ years,"DevOps, Automation"
IT Support Specialist,"Troubleshooting, Software Installation, Customer Service, Network Support, Windows, Active Directory, Linux",5+ years,"Incident Management, Hardware, Technical Support"
Software Engineer,"Microservices, Docker, Python, REST APIs, Git, Agile, C++, Java, Spring Boot",1+ years,"Code Quality, Unit Testing, Design Patterns, Scalability, Agile Development"
Software Engineer,"Git, REST APIs, Agile, Docker, Java, C++, Microservices",3+ years,"Design Patterns, Scalability, Unit Testing, Agile Development"
Network Engineer,"Cisco, Firewalls, Routing, SDN, WAN",2+ years,"Network Design, Monitoring"
Software Engineer,"Java, Microservices, Python, Agile, Docker, Spring Boot, C++",4+ years,"Agile Development, Code Quality, Design Patterns, Unit Testing, Scalability"
Cloud Engineer,"Azure, Docker, CI/CD, Serverless, Monitoring",5+ years,"Automation, DevOps"
IT Support Specialist,"Troubleshooting, Help Desk, Network Support, Customer Service, Windows, Software Installation, Remote Support",3+ years,"Technical Support, User Training, Ticketing, Hardware"
Machine Learning Engineer,"NLP, PyTorch, Deep Learning, Model Deployment",4+ years,"AI, Big Data, Research, Algorithm Development, Model Tuning"
Machine Learning Engineer,"Python, Computer Vision, Model Deployment, NLP, PyTorch, TensorFlow",5+ years,"Model Tuning, AI, Algorithm Development, Research, Big Data"
Data Scientist,"Data Visualization, Deep Learning, Python, TensorFlow, Statistics, PyTorch",8+ years,"Big Data, Data Mining, A/B Testing, Predictive Modeling, ETL"
Cybersecurity Analyst,"Incident Response, Vulnerability Management, Penetration Testing, Cryptography, Network Security, Risk Assessment, SOC",4+ years,"Forensics, Threat Intelligence, Compliance, SIEM"
Network Engineer,"Switching, Routing, SDN, LAN, Firewalls, VPN, Cisco",10+ years,"Monitoring, QoS, Troubleshooting, Network Design"
Data Scientist,"Python, SQL, Deep Learning, Machine Learning, Statistics, PyTorch, R, TensorFlow, Data Visualization",9+ years,"Big Data, Data Mining"
Software Engineer,"Microservices, Java, Git, Agile, Python, C++",4+ years,"Scalability, Design Patterns"
Data Scientist,"Deep Learning, TensorFlow, R, Machine Learning, Statistics, Data Visualization, SQL, Python, PyTorch",4+ years,"Predictive Modeling, Data Mining, A/B Testing, ETL, Big Data"
Data Scientist,"Python, Statistics, TensorFlow, SQL, Machine Learning, Data Visualization, PyTorch",2+ years,"A/B Testing, Predictive Modeling"
Machine Learning Engineer,"TensorFlow, PyTorch, NLP, Python, Deep Learning, Model Deployment, Data Preprocessing, Computer Vision, Scikit-Learn",8+ years,"Research, Algorithm Development, Model Tuning, AI"
IT Support Specialist,"Network Support, Troubleshooting, Active Directory, Customer Service",2+ years,"Technical Support, User Training, Hardware"
Software Engineer,"Spring Boot, Java, Git, Microservices",2+ years,"Scalability, Unit Testing, Agile Development, Code Quality"
Network Engineer,"WAN, Network Security, Cisco, VPN",10+ years,"Capacity Planning, QoS, Network Design, Troubleshooting"
DevOps Engineer,"Kubernetes, CI/CD, Monitoring, Jenkins, Linux",6+ years,"Agile, Cloud, Automation"
Cloud Engineer,"Docker, CI/CD, Cloud Security, Monitoring, Azure, Serverless",9+ years,"DevOps, Cloud Migration, Infrastructure as Code"
Network Engineer,"WAN, SDN, Routing, Switching, Cisco, Network Security, VPN, Firewalls, LAN",8+ years,"Network Design, Monitoring, QoS, Capacity Planning, Troubleshooting"
Cloud Engineer,"Azure, AWS, Kubernetes, Monitoring, Terraform, Cloud Security",7+ years,"Automation, Infrastructure as Code"
DevOps Engineer,"Jenkins, Linux, Ansible, Docker, Monitoring, AWS, CI/CD",10+ years,"Infrastructure as Code, Automation, Scalability, Cloud"
Software Engineer,"C++, Spring Boot, Docker, REST APIs, Python",3+ years,"Code Quality, Agile Development"
Data Scientist,"PyTorch, Machine Learning, Python, Data Visualization",9+ years,"Data Mining, A/B Testing, Predictive Modeling, Big Data"
Cloud Engineer,"Azure, CI/CD, Terraform, Monitoring, Cloud Security, Kubernetes, Serverless, Docker, AWS",8+ years,"Scalability, Infrastructure as Code, DevOps"
Software Engineer,"Python, Docker, Agile, Microservices, Git, C++, REST APIs",7+ years,"Agile Development, Unit Testing, Code Quality"
Data Scientist,"Data Visualization, TensorFlow, SQL, Statistics, R, Deep Learning",7+ years,"ETL, Predictive Modeling, Data Mining"
Cybersecurity Analyst,"Risk Assessment, Penetration Testing, Vulnerability Management, Network Security, Incident Response, Cryptography",12+ years,"SIEM, Threat Intelligence"
Software Engineer,"Docker, Git, Java, C++, Spring Boot, REST APIs, Microservices",8+ years,"Unit Testing, Agile Development, Scalability, Design Patterns"
Machine Learning Engineer,"Data Preprocessing, PyTorch, NLP, Computer Vision, Deep Learning, TensorFlow",5+ years,"Big Data, Research"
Data Scientist,"TensorFlow, R, Deep Learning, Data Visualization, Python, PyTorch, Machine Learning, SQL",9+ years,"Big Data, Data Mining, ETL, A/B Testing, Predictive Modeling"
Machine Learning Engineer,"Data Preprocessing, PyTorch, Python, Computer Vision, Deep Learning, Scikit-Learn",9+ years,"Model Tuning, Algorithm Development, Research, AI"
Data Scientist,"R, TensorFlow, Machine Learning, Statistics, Deep Learning, SQL, PyTorch",2+ years,"Big Data, ETL, Data Mining"
Software Engineer,"C++, REST APIs, Spring Boot, Microservices",3+ years,"Code Quality, Design Patterns"
DevOps Engineer,"Docker, Kubernetes, Linux, Ansible, Jenkins, Monitoring, AWS",10+ years,"Agile, Cloud, Scalability, Automation, Infrastructure as Code"
Data Scientist,"Deep Learning, Machine Learning, Python, Statistics, Data Visualization, TensorFlow, PyTorch",8+ years,"Data Mining, Big Data, ETL, A/B Testing"
Network Engineer,"Routing, Network Security, SDN, Switching, VPN, Firewalls, WAN",2+ years,"Monitoring, Troubleshooting"
Cloud Engineer,"Monitoring, Cloud Security, AWS, Terraform, Kubernetes, Azure",3+ years,"Infrastructure as Code, DevOps"
Data Scientist,"Python, Machine Learning, TensorFlow, PyTorch, SQL, Statistics",2+ years,"A/B Testing, Predictive Modeling, ETL, Data Mining"
IT Support Specialist,"Remote Support, Troubleshooting, Network Support, Customer Service",2+ years,"Hardware, Incident Management, Technical Support"
Software Engineer,"Python, Docker, Java, REST APIs, Microservices, Agile, C++",5+ years,"Code Quality, Design Patterns, Scalability, Agile Development"
Network Engineer,"Firewalls, Routing, VPN, LAN, Network Security, Switching",9+ years,"QoS, Capacity Planning, Troubleshooting, Monitoring"
Cybersecurity Analyst,"Cryptography, Vulnerability Management, Incident Response, Risk Assessment, SOC, Network Security",9+ years,"Threat Intelligence, Compliance, SIEM, Mitigation, Forensics"
Network Engineer,"WAN, LAN, Routing, VPN, Switching, Cisco, Firewalls, SDN",4+ years,"Troubleshooting, Monitoring, Capacity Planning, QoS"
Data Scientist,"Machine Learning, Python, Data Visualization, PyTorch, SQL",10+ years,"A/B Testing, Data Mining"
Software Engineer,"Java, C++, Agile, Python, REST APIs, Git, Microservices",8+ years,"Scalability, Design Patterns, Unit Testing, Code Quality"
Software Engineer,"Spring Boot, Python, C++, Docker, Git, REST APIs, Microservices, Agile, Java",6+ years,"Agile Development, Unit Testing, Design Patterns, Scalability"
Machine Learning Engineer,"Scikit-Learn, PyTorch, Model Deployment, Data Preprocessing, Computer Vision, Deep Learning, Python, TensorFlow, NLP",10+ years,"Algorithm Development, Big Data, Model Tuning, Research"
Data Scientist,"Python, Deep Learning, TensorFlow, Data Visualization",4+ years,"Big Data, Data Mining, A/B Testing, Predictive Modeling, ETL"
IT Support Specialist,"Network Support, Troubleshooting, Linux, Customer Service",6+ years,"Technical Support, Ticketing, Incident Management"
Cybersecurity Analyst,"SOC, Incident Response, Network Security, Vulnerability Management, Cryptography, Penetration Testing, Risk Assessment",3+ years,"Threat Intelligence, SIEM"
Software Engineer,"Microservices, Git, Spring Boot, Python, Docker, Java, Agile, C++",1+ years,"Unit Testing, Design Patterns, Code Quality"
Software Engineer,"Agile, Microservices, C++, REST APIs, Python, Java, Docker",2+ years,"Unit Testing, Code Quality, Scalability"
Network Engineer,"SDN, LAN, WAN, VPN, Cisco, Routing, Switching, Network Security, Firewalls",3+ years,"QoS, Network Design, Troubleshooting, Monitoring"
DevOps Engineer,"Linux, Terraform, AWS, Kubernetes, Jenkins, Docker, Monitoring, CI/CD, Ansible",4+ years,"Automation, Infrastructure as Code, Cloud, Agile, Scalability"
Machine Learning Engineer,"NLP, Python, Scikit-Learn, TensorFlow, PyTorch",2+ years,"Algorithm Development, Big Data, Model Tuning"
DevOps Engineer,"AWS, CI/CD, Jenkins, Linux, Docker",10+ years,"Infrastructure as Code, Scalability, Automation, Agile, Cloud"
Software Engineer,"Agile, Java, Spring Boot, Python, Microservices, C++, REST APIs, Docker",2+ years,"Unit Testing, Design Patterns, Agile Development, Code Quality"
Software Engineer,"Git, Java, C++, Agile, Python, Microservices, REST APIs, Spring Boot, Docker",2+ years,"Scalability, Code Quality, Unit Testing, Agile Development"
DevOps Engineer,"AWS, Terraform, Kubernetes, Ansible, Docker",5+ years,"Infrastructure as Code, Automation"
Machine Learning Engineer,"Model Deployment, NLP, Scikit-Learn, Data Preprocessing",9+ years,"Big Data, Research, AI"
DevOps Engineer,"AWS, Docker, CI/CD, Terraform, Monitoring",9+ years,"Agile, Cloud, Infrastructure as Code, Automation"
Cybersecurity Analyst,"Network Security, Vulnerability Management, Cryptography, Risk Assessment, SOC",7+ years,"Threat Intelligence, Compliance, Forensics, SIEM, Mitigation"
Cybersecurity Analyst,"Vulnerability Management, Cryptography, Risk Assessment",2+ years,"Forensics, Mitigation"
Software Engineer,"Git, Java, Agile, C++, Spring Boot",2+ years,"Design Patterns, Scalability, Unit Testing, Agile Development"
IT Support Specialist,"Customer Service, Active Directory, Windows, Help Desk, Remote Support, Software Installation, Linux, Network Support",1+ years,"Incident Management, Hardware, Ticketing, Technical Support"
IT Support Specialist,"Help Desk, Software Installation, Windows, Customer Service",3+ years,"Hardware, Ticketing, User Training"
DevOps Engineer,"Jenkins, Linux, Ansible, Kubernetes, Terraform, AWS, Docker, Monitoring, CI/CD",8+ years,"Scalability, Agile"
IT Support Specialist,"Help Desk, Windows, Software Installation, Active Directory",6+ years,"Technical Support, Ticketing, Hardware, Incident Management, User Training"
Cybersecurity Analyst,"Risk Assessment, Vulnerability Management, Penetration Testing, Network Security, SOC, Cryptography, Incident Response",4+ years,"Mitigation, Compliance, Forensics"
Cloud Engineer,"AWS, Serverless, Kubernetes, Docker, Cloud Security, CI/CD, Terraform, Azure",10+ years,"Scalability, DevOps, Automation"
DevOps Engineer,"Terraform, Jenkins, AWS, Docker, Kubernetes, Monitoring",5+ years,"Scalability, Cloud, Infrastructure as Code"
DevOps Engineer,"Linux, Jenkins, CI/CD, Terraform, Kubernetes, Docker",2+ years,"Agile, Cloud"
Cybersecurity Analyst,"Risk Assessment, Vulnerability Management, Cryptography, Incident Response, Network Security",7+ years,"SIEM, Compliance, Forensics"
Network Engineer,"Routing, Network Security, Switching, Cisco, WAN, LAN",4+ years,"Monitoring, Troubleshooting, Capacity Planning, QoS, Network Design"
Machine Learning Engineer,"Scikit-Learn, Data Preprocessing, Computer Vision, TensorFlow, PyTorch, NLP, Python, Deep Learning",10+ years,"Algorithm Development, Big Data, Research, AI"
Machine Learning Engineer,"Python, Data Preprocessing, TensorFlow, Deep Learning, Model Deployment, NLP",2+ years,"AI, Algorithm Development, Research, Model Tuning"
Cybersecurity Analyst,"Incident Response, Network Security, Penetration Testing, Vulnerability Management, SOC",2+ years,"SIEM, Compliance, Mitigation, Forensics, Threat Intelligence"
DevOps Engineer,"Docker, AWS, Kubernetes, Jenkins, Monitoring, Terraform, CI/CD",3+ years,"Automation, Infrastructure as Code, Cloud"
DevOps Engineer,"Terraform, Jenkins, CI/CD, AWS, Docker",5+ years,"Infrastructure as Code, Automation, Scalability, Agile"
IT Support Specialist,"Software Installation, Active Directory, Help Desk, Customer Service, Remote Support, Network Support, Troubleshooting, Linux",3+ years,"Incident Management, User Training, Ticketing"
Network Engineer,"Network Security, LAN, Routing, Switching, SDN",6+ years,"Troubleshooting, Capacity Planning"
Cloud Engineer,"Kubernetes, Serverless, Terraform, Cloud Security, Docker, AWS, CI/CD",7+ years,"Cloud Migration, DevOps, Automation, Scalability, Infrastructure as Code"
Network Engineer,"Network Security, LAN, VPN, WAN, Cisco, Firewalls, Switching, SDN",3+ years,"Monitoring, Troubleshooting, Network Design"
Machine Learning Engineer,"Model Deployment, Python, NLP, Computer Vision, Data Preprocessing, PyTorch, TensorFlow, Deep Learning",7+ years,"Research, Big Data, AI, Algorithm Development"
Cybersecurity Analyst,"Penetration Testing, Vulnerability Management, Risk Assessment, Incident Response, Network Security, Cryptography",4+ years,"SIEM, Threat Intelligence, Compliance, Mitigation, Forensics"
Software Engineer,"Docker, Java, Git, Spring Boot, Agile, Microservices",7+ years,"Unit Testing, Scalability"
Data Scientist,"PyTorch, R, Statistics, SQL",4+ years,"A/B Testing, Predictive Modeling, ETL, Big Data"
IT Support Specialist,"Software Installation, Network Support, Windows, Customer Service",5+ years,"Hardware, Technical Support, User Training, Incident Management, Ticketing"
Cybersecurity Analyst,"Penetration Testing, SOC, Cryptography",12+ years,"SIEM, Compliance, Forensics, Threat Intelligence"
DevOps Engineer,"Linux, Ansible, Terraform, Docker, Monitoring",7+ years,"Cloud, Agile, Automation, Infrastructure as Code, Scalability"
Software Engineer,"Git, Agile, REST APIs, Java, C++, Docker",5+ years,"Code Quality, Design Patterns, Scalability"
Cybersecurity Analyst,"SOC, Risk Assessment, Network Security, Penetration Testing, Vulnerability Management",7+ years,"Compliance, SIEM"
Network Engineer,"SDN, Firewalls, Routing, Switching, LAN, WAN, Cisco",7+ years,"Troubleshooting, Capacity Planning, QoS"
Network Engineer,"SDN, Switching, Routing, Network Security",7+ years,"QoS, Monitoring"
Cloud Engineer,"Azure, Serverless, Monitoring, Docker, Cloud Security, AWS, Terraform",10+ years,"Automation, DevOps, Cloud Migration, Infrastructure as Code, Scalability"
Network Engineer,"Routing, Network Security, SDN, Switching, WAN, LAN, Cisco",11+ years,"Monitoring, Network Design, Capacity Planning, Troubleshooting"
Cloud Engineer,"Kubernetes, AWS, Docker, CI/CD, Cloud Security, Terraform",3+ years,"Scalability, DevOps"
IT Support Specialist,"Software Installation, Remote Support, Network Support, Customer Service, Active Directory, Windows, Linux, Troubleshooting, Help Desk",6+ years,"Hardware, User Training"
Machine Learning Engineer,"TensorFlow, Scikit-Learn, Deep Learning, NLP, Data Preprocessing, Computer Vision, Python",3+ years,"Research, Algorithm Development"
Data Scientist,"Machine Learning, TensorFlow, PyTorch, Data Visualization, Python, Statistics",2+ years,"Big Data, ETL, Data Mining, Predictive Modeling"
Cloud Engineer,"Serverless, Docker, Azure, Monitoring, AWS, Kubernetes, Cloud Security, CI/CD, Terraform",8+ years,"Scalability, Cloud Migration, DevOps, Automation, Infrastructure as Code"
Cloud Engineer,"Cloud Security, Docker, Serverless, Azure, Monitoring, CI/CD, Terraform, Kubernetes, AWS",3+ years,"DevOps, Cloud Migration, Automation, Scalability"
